Weg [m];Masse [g];TV;t1;t2;t3;mean_t [s];t_theo [s];g_exp [m/s²]
0.2;0;M1;0.813;0.859;0.856;0.8426666666666667;0.8905541334732536;10.95665596296505
0.3;0;M1;1.034;1.096;1.126;1.0853333333333333;1.090701607667948;9.907284419204203
0.4;0;M1;1.25;1.239;1.245;1.2446666666666666;1.2594337335852948;10.04415792998481
0.5;0;M1;1.38;1.362;1.385;1.3756666666666666;1.4080897207265395;10.277872722432651
0.6;0;M1;1.487;1.483;1.524;1.498;1.5424850060661506;10.4012918606832
0.7;0;M1;1.601;1.64;1.656;1.6323333333333332;1.666074225916133;10.21974361350355
0.8;0;M1;1.787;1.751;1.771;1.7696666666666665;1.7811082669465073;9.937261190841008
